('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         450170 function calls (434968 primitive calls) in 2.204 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      716    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      716    1.548    0.002    1.548    0.002 {method 'read' of '_ssl._SSLSocket' objects}
      716    0.001    0.000    1.549    0.002 ssl.py:1090(read)
      716    0.002    0.000    1.552    0.002 ssl.py:1230(recv_into)
      716    0.002    0.000    1.555    0.002 socket.py:690(readinto)
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      669    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
  638/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      628    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      620    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      620    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
  608/591    0.000    0.000    0.003    0.000 typing.py:269(inner)
      586    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      566    0.000    0.000    0.000    0.000 typing.py:660(_is_dunder)
      566    0.000    0.000    0.001    0.000 typing.py:708(__setattr__)
      559    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      557    0.005    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
      557    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      528    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      501    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      501    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      496    0.000    0.000    0.003    0.000 enum.py:358(__call__)
      486    0.000    0.000    0.000    0.000 enum.py:670(__new__)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      456    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      429    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      427    0.000    0.000    0.001    0.000 _htmlparser.py:195(handle_data)
      425    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      425    0.001    0.000    0.002    0.000 element.py:934(__new__)
      425    0.000    0.000    0.001    0.000 __init__.py:495(string_container)
      425    0.001    0.000    0.002    0.000 __init__.py:592(object_was_parsed)
      425    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      407    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      405    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      404    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      363    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      363    0.000    0.000    0.001    0.000 enum.py:462(__setattr__)
      351    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
      321    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      316    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      303    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      303    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      303    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      303    0.001    0.000    0.001    0.000 enum.py:88(__setitem__)
      302    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      299    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      296    0.000    0.000    0.000    0.000 os.py:758(decode)
      292    0.004    0.000    0.073    0.000 {built-in method builtins.__build_class__}
      291    0.000    0.000    0.085    0.000 re.py:250(compile)
      291    0.001    0.000    0.084    0.000 re.py:289(_compile)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      272    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      262    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      261    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      258    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      249    0.000    0.000    0.000    0.000 typing.py:738(<genexpr>)
      244    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      237    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      223    0.000    0.000    0.000    0.000 enum.py:792(value)
      223    0.000    0.000    0.000    0.000 types.py:171(__get__)
      219    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      217    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      198    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
      198    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
  176/175    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      174    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
  174/143    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
      163    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      160    0.000    0.000    0.000    0.000 typing.py:128(_type_convert)
      160    0.000    0.000    0.001    0.000 typing.py:137(_type_check)
      159    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      156    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      152    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      151    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      151    0.000    0.000    0.001    0.000 enum.py:977(__and__)
      151    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
      151    0.000    0.000    0.029    0.000 sre_compile.py:598(_code)
      151    0.001    0.000    0.082    0.001 sre_compile.py:759(compile)
      151    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      151    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      151    0.000    0.000    0.051    0.000 sre_parse.py:937(parse)
      150    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
      150    0.000    0.000    0.000    0.000 os.py:697(__iter__)
      150    0.000    0.000    0.000    0.000 os.py:754(encode)
      150    0.000    0.000    0.000    0.000 _collections_abc.py:849(__iter__)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      141    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
    139/4    0.000    0.000    0.145    0.036 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      139    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      134    0.000    0.000    0.000    0.000 typing.py:745(__eq__)
      133    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      125    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      125    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
      125    0.000    0.000    0.000    0.000 enum.py:551(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
  121/104    0.000    0.000    0.000    0.000 typing.py:751(__hash__)
      113    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
